product_name,price,ratings,rank_text
Best sellers,$0.99,35455,11
Death Row (Alibis collection),$4.99,57732,2
The Tenant,$4.99,27505,1
Rewind It Back (Windy City Series Book 5),$4.99,20356,3
Shield of Sparrows,$3.99,411583,5
Fourth Wing (The Empyrean Book 1),$2.99,3312,3
Beautiful Venom: A Dark Hockey Romance (Vipers Book 1),$3.99,343066,17
Iron Flame (The Empyrean Book 2),$3.99,109887,14
Just for the Summer,$3.99,505376,12
The Housemaid: An absolutely addictive psychological thriller with a jaw-dropping twist,$3.99,153491,1
Quicksilver (Fae &amp; Alchemy Book 1),$9.36,76155,4
In Five Years: A Novel,$4.99,201194,4
